id,streaming_reference,Titulo,synopsis_es,Topico,clusters_jer,clusters_km,plays
914988464,/video/60356927,Sueños de Polvorón,"Desde Los Polvorines, el tercer cordón industrial del Gran Buenos Aires, como un superhéroe desdibujado, Guillermo Solís se convierte en Willy Polvorón, cantautor y guitarrista lumpen que dedica sus canciones al chorizo, las empanadas, la bicicleta y las chapitas de gaseosas. Oír para creer: este inquieto compositor del rock cartonero tiene el culto más reducido del universo a pesar de rotar por las FM masivas. Contra todo pronóstico, en perfecto dúo con su manager, Willy intenta infiltrarse en la alta sociedad del mundo de la música, llevando de contrabando un arsenal de canciones insólitas que van más allá de géneros y gustos. ",3,11,3,978.0
914988465,/video/61615784,Raymundo,"Esta película cuenta la vida y obra de Raymundo Gleyzer, un cineasta argentino secuestrado y asesinado por la dictadura militar en 1976. Convencido de que el cine es un arma de contrainformación, un instrumento para los de abajo, Raymundo documentó la situación social y política de América Latina desde 1963. Sus comienzos fueron etnográficos y periodísticos. Luego, pasó a hacer un cine fuertemente político de cuestionamiento y denuncia, muchas veces clandestino. En 1973, crea el grupo Cine de la base para llevar el cine a los mismos protagonistas de sus films: los desposeídos de la tierra, los obreros, los indios y los campesinos.

",36,1,12,588.0
914988466,/video/61939946,El sueño del perro,"El sueño del perro narra la historia de una resurrección espiritual. Y lo hace estableciendo un vínculo estrecho entre realidad y fantasía, con un estilo que apunta a darle un clima onírico y poético al relato. La película describe, como si se tratara de un sueño, el difícil recorrido interior que el protagonista emprende hacia una vida nueva, más plena y feliz. Buscándose a sí mismo, el protagonista encontrará un mundo de aventuras, sueños y heroísmo. Un mundo extraño, en el que recobrará su fe en la vida y los seres humanos.",13,6,14,138.0
914988468,/video/63404485,Achupallas,"Achupallas es un pueblo situado en el corazón de la provincia de Buenos Aires. Grandes verdes, un pasado rico en historia y una tranquilidad característica. Un pueblo de campo, con tan solo cien habitantes, que verán afectada su cotidianidad al ser informados que formarán parte de un documental.",21,36,0,41.0
914988470,/video/63517608,Vaudeville,"17 puertas, 27 personajes, una noche. Una noche con 27 personajes en 17 puertas. 27 personajes recorren 17 puertas de calle en una noche. La noche en que 27 personajes abrieron 17 puertas. 17 puertas que se cierran en una noche. 27 personajes. Las ocupan. En una noche. Las recorren. 17 puertas.",16,35,8,1651.0
914988471,/video/64474786,Mono,"""Mono"" es un documental experimental sobre una renovación generacional en la escena musical argentina. Doce nuevas bandas - Los Álamos, El mató a un policía motorizado, Bauer, Los Kahunas, Los Cuzcos, Brian Storming, Norma, Pablo Reche, Turpentine, Hacia Dos Veranos, Los Peyotes y McFly - y su público, fueron filmadas durante seis meses en largos planos secuencia, durante sus recitales en diferentes ciudades argentinas. 
Sin necesidad de entrevistas, ni palabras... sólo la búsqueda del encuadre ideal para cada situación, música estridente y el poder del vivo. ",33,3,32,789.0
914988472,/video/65090578,Los jóvenes muertos,"Desde fines de la década del '90, cerca de 30 adolescentes se quitaron la vida en el pueblo de Las Heras en la provincia de Santa Cruz. Con pocas pistas que den cuenta de las razones de estos suicidios, nadie puede explicar qué sucedió. A partir de esas muertes, y algunas otras posteriores, este film evoca la existencia de esos jóvenes, tratando de examinar el vacío y el misterio que rodea tanto sus vidas como sus muertes.",12,13,34,1569.0
914988473,/video/64962791,Las pistas - Lanhoyij - Nmitaxanaxac,"Ya desde su idea primigenia, ¨Las pistas - Lanhoyij - Nmitaxanaxac¨ sorprende. Cómo a nadie se le había ocurrido antes incluir a las distintas culturas que conviven en la Argentina para darle forma a una historia de traiciones, rescates, agentes dobles e intrigas varias e imprecisas? Ese es el juego que propone la ópera prima de nombre tripartito (en sus traducciones al wichi y al Toba) de Sebastián Lingiardi, en la que una serie de personajes aparentemente inofensivos van tejiendo una red de conexiones y de objetivos imprecisos, una trama de límites desconocidos que convierte la sensación de paranoia en una realidad concreta. (BAFICI)",19,26,4,7913.0
914988474,/video/25803177,No me ama,"Una joven pareja recorre la costa uruguaya. Las imágenes de sus días juntos, paseando por los paisajes, van acompañadas por un monólogo interno. Él, en su neurosis, comienza a creer que ella no lo ama. Avanzan por parajes cada vez más hermosos mientras su discurso interno lo enceguece. Decide terminar con la relación pero no se atreve a hacerlo. ",27,30,6,15162.3242009
914988475,/video/66339384,Fuego eterno,"En un viaje de ida y vuelta entre Buenos Aires y Nueva York, el recuerdo siempre presente de un hombre inspira a sus seres queridos a honrar la vida. Juana Sapire vuelve a la ciudad de la que tuvo que exiliarse en 1976 para testimoniar en un juicio histórico por la desaparición de su esposo, el militante y cineasta revolucionario Raymundo Gleyzer. Su hijo Diego vive en Nueva York y, aunque guarda pocos recuerdos de su padre, evoca vivencias de su infancia y defiende su convencimiento de que el perdón es lo que lo ayuda a seguir viviendo.",14,38,30,345.0
914988476,/video/66480036,Un Rey para la Patagonia - Una Super producción Subdesarrollada,"En 1971, el artista gráfico y publicitario Juan Fresán se propuso llevar al cine la historia de Orélie Antoine de Tounens, el delirante francés que 100 años antes se había autoproclamado 'Rey de la Patagonia y Araucanía', con constitución, moneda y ministros propios. La película, titulada 'La Nueva Francia', quedó inconclusa, primero por falta de fondos y luego porque su autor debió exiliarse. Si a muchos la historia hoy les resulta conocida, eso se debe a que en los '80 Carlos Sorín realizó 'La película del Rey', inspirado en aquel frustrado rodaje, en el que había trabajado como director de fotografía. En 2004, Fresán se contactó con Turturro para que lo ayudara a rescatar el fílmico conservado. Fresán falleció en ese mismo año, pero Turturro decidió retomar la huella de aquella película trunca, exhumando materiales inéditos, volviendo a sus escenarios originales y acopiando testimonios, para iluminar las dos historias –una dentro de la otra– que componen este relato real, más extraño y fascinante que cualquier ficción.",15,33,20,4097.0
914988477,/video/66395770,El perseguido,"Una noche un escritor falto de inspiración sale a caminar por Buenos Aires. Encuentra un paquete en la basura. De ahí en más, lo llevará consigo. Su afán por conservarlo y esconderlo transformará sus días y sus noches en una extraña pesadilla.",10,27,10,42912.0
914988478,/video/66725246,Grande para la Ciudad,"“Nada de solos, la melodía es lo principal” dice uno de los integrantes de Astroboy, una banda uruguaya de brit pop. Este film documenta la grabación de su segundo disco, Big for the City, que se lleva a cabo en Buenos Aires. El elusivo momento en que los sonidos dejan de ser ruido y se convierten en canción.",35,24,15,38.0
914988514,/video/66975498,Bellville - Depósito de sujetos perdidos,"Brenda, una adolescente de diecisiete años encargada de un hotel, inventa y escribe historias con los pasajeros que se hospedan allí. Lucas, un joven de treinta años llega a la ciudad y se hospeda unos días en el hotel para asistir a una fiesta de casamiento. Francisco, músico y compositor famoso de sesenta y dos años sospecha de las extrañas actividades secretas de su mujer. Las tres historias se ven involucradas una con la otra para resolver aquello que ellos solos no pueden.",2,37,22,34416.0
914988515,/video/66723035,La nube,"Sobre el malecón de La Habana flota la nube de incertidumbres de una mujer abandonada.
",2,37,22,940.0
914988516,/video/67829353,Novias - Madrinas - 15 Años,"Los hermanos Levy toman una premisa sencilla pero muchas veces olvidada: retratar un mundo que conocen bien (una sedería propiedad del padre de ambos, el ""Negro"" Levy, ubicada en el barrio porteño de Once), y tratar de hacerlo atractivo para gente que lo conoce menos o que directamente lo desconoce. El mundo que enfocan es el de un grupo de hombres que no son soldados ni ingenieros, no son un equipo de fútbol cinco ni un conjunto de cómicos, sino que son vendedores. Vendedores de telas de calidad para vestidos de fiesta, telas que jamás vestirán ellos mismos y que sin embargo venden como leones a legiones de novias, madrinas y cumpleañeras que peregrinan por la calle Azcuénaga en busca de un poco de glamour. ",19,26,4,15162.3242009
914988517,/video/66665165,Fortalezas,"Esta es una película sobre historias de personajes que viven encerrados en instituciones de reclusión. Viejos, locos, enfermos y presos buscan salidas a la asfixia que los rodea. ""Fortalezas"" se enamora de sus personajes, que nos enseñan la valentía de resistir, aún en las más extremas condiciones, para conquistar así una posible libertad individual.
",10,27,10,1876.0
914988518,/video/68347352,Salón Royale,"Ana se dirige junto a dos amigas a un casamiento. Tiene la ilusión de conocer a alguien,  pero sus expectativas cambian cuando una de ellas le revela, que  a la fiesta... parece que va su ex.
",37,7,25,2646.0
914988519,/video/67389586,El cazador es un corazón solitario,"Un fotógrafo ha perdido a su mujer en un accidente mientras le tomaba fotografías. Se siente culpable y deprimido. Pero un día, por casualidad, conocerá a otra mujer muy similar a la anterior, a la que intentará reemplazar.",17,15,23,391.0
914988520,/video/68377375,Árboles y arbustos,"""(...) Siempre verde, de hasta 20 metros de altura. Tronco derecho, corteza oscura, poco hendida, delgada; copa redondeada, amplia, densa, oscura, verde brillante, grisácea o negruzca. Posee hojas simples, persistentes, duras, con formas diversas, aovadas o lanceoladas, de 5 centímetros de largo""",32,31,13,76.0
914988521,/video/66721728,Champaquí,"Una mujer, una montaña, una pesadilla.",2,37,22,1512.0
914988522,/video/69488460,Escenas en el mar,"En una tarde apacible de invierno, la realizadora sale con su trípode a filmar el atardecer en el mar. Filma tranquila disfrutando de los colores del ocaso y el sonido del agua,  mira los perros que van y vienen, cuando algo inesperado la desaloja de su ensoñación y acaso del lugar de directora de esta película. ",15,33,20,680.0
914988523,/video/68846663,El hombre caja,"“El hombre caja” cuenta la historia de un joven que desea ver la luna y las estrellas. En su camino, encontrará a una muchacha tan particular como él. Sin embargo, todo se complica cuando ella descubre que puede ver el mundo exterior.",1,5,24,48.0
914988524,/video/67005421,Nazion,"La ideología del nacionalismo católico inspiró y justificó el terrorismo de Estado en Argentina, a través de la asociación entre la Iglesia Católica y los militares. Leopoldo Nacht, un hombre de 84 años, que vivió la persecución y la desaparición de sus amigos en la Dictadura de 1976, investiga en archivos inéditos para impedir que fragmentos de esta ideología se reinstalen en las nuevas generaciones. Es su legado. Así, redescubre a lo largo de la historia del siglo XX en Argentina, los principales crímenes y conceptos de la ultra derecha nacionalista, principalmente: anticomunista, antidemocrática y xenofóbica.
",8,16,5,10238.0
914988525,/video/70181041,Hacerme feriante,"La Salada es un conjunto de ferias especializado en textiles ubicado en el conurbano de Buenos Aires, sobre las ruinas de antiguos balnearios populares. Dos veces a la semana, por la madrugada, la feria activa una poderosa economía no hegemónica a través de una incalculable cantidad de talleres de escala doméstica que proveen de mercadería a mayoristas que llegan desde todo el país.
Los feriantes construyeron con ingenio un sistema multitudinario para quienes no encuentran en la ciudad formal lo que La Salada oferta, estableciendo sus propias leyes y logrando que sea el gobierno quien se acerque a negociar. 
",4,4,7,1147.0
914988526,/video/70498403,Shave it,"En una selva donde gigantes máquinas topadoras rasuran la vegetación, un mono encuentra una afeitadora y decide usarla. Con apariencia humana viaja a la ciudad y se dispone a trepar los escalafones de la sociedad.",30,23,36,148.0
914988527,/video/70549569,El vuelo de Atí,"Una joven pareja se prepara para la llegada de su hijo: Atí. El primer juguete del niño es un pájaro de madera que cuelgan sobre su cuna. Pájaro que, ante los ojos del niño, cobra vida. Atí va creciendo en compañía de este pájaro. Juntos crean un mundo en el que la realidad se transforma a su gusto. Con el tiempo, la vida de Atí cambia y va olvidando al juguete, hasta que un día, lo reencuentra, y entonces, todo cambia.",27,30,6,19.0
914988528,/video/70853326,Enciclopedia,"Utilizando la estructura de una enciclopedia con variadas escenas no conectadas entre sí, esta película muestra una suerte de ""radiografía"" de la sociedad argentina de los noventa, a la vez que pone en duda el significado aparente de las cosas, y nos acerca, con humor e ironía, a una singular idea del mundo moderno.",2,37,22,1076.0
914988529,/video/70528481,"Colegiales, asamblea popular","Buenos Aires, diciembre, 2001. En medio de una profunda crisis económica y de representación, la gente harta salió a las calles. En el barrio de Colegiales, al igual que otros barrios, los vecinos comenzaron a discutir sobre problemas en común y a organizar acciones políticas en forma autónoma y horizontal. Así surgió la Asamblea de Colegiales. Este documental es un recorrido de tres años compartiendo sus sueños, sus miedos, sus fuerzas y sus debilidades. De algún modo, da cuenta de los conflictos y contradicciones de la sociedad argentina en un momento singular de su historia. ",38,12,19,124.0
914988530,/video/70797527,Amaina,Dos hermanos aguardan junto a su madre agonizante el preciso instante en que la lluvia les dé un respiro. La cosecha ya tuvo su tiempo para madurar y ha empezado a debilitarse. Ellos deberán tomar una decisión: quedarse allí a cuidarla o salir a hacer el trabajo antes que el agua destruya la cosecha.,11,19,1,729.0
914988531,/video/69781711,El contrabajo,"En las orillas de la ciudad de Buenos Aires, entre los escombros que forman la costa de su reserva ecológica, ella escucha, atenta, la confesión.  Lo demás, lo que sigue, serán meros inconvenientes e interrogantes entre un cadáver y un contrabajo, entre la imperfecta ciudad y su río, que sembrarán la duda sobre la efectividad de su venganza.
",32,31,13,223.0
914988532,/video/71202053,Pablo Dacal y el misterio del Lago Rosario,"Un monolito es la excusa para un viaje a una obsesión llena de encantos y como todo sueño, también de alguna decepción.",22,20,9,83.0
914988533,/video/71961590,El pasante,"Un joven pasante inicia un trabajo nocturno como botones de un lujoso hotel de la ciudad de Buenos Aires. Durante su pasantía es entrenado por una recepcionista. El pasante y la recepcionista construyen una relación cercana mientras exploran el mundo del hotel. Cuando un huésped desaparece, ambos personajes se disponen a develar el misterio, involucrándose tal vez demasiado en el proceso.",20,17,28,84711.0
914988535,/video/71972899,Encuentros,"Diferencias, Toxicidad, y Devenir. Tres visiones distintas de lo que sucede cuando un objeto se encuentra con otro que afecta su realidad dramáticamente.",7,34,26,331.0
914988536,/video/69778828,Rastros,"Un hombre viaja de la ciudad hacia el campo en un Ford Falcon mientras se alternan tomas caseras con motivos familiares que se van destruyendo, o degradando hacia la abstracción, conforme el auto avanza.",29,32,16,840.0
914988537,/video/70549571,Grissinopoli,"Endeudada y quebrada, la fábrica de grisines ""Grissinópoli” es abandonada por sus dueños. Sin embargo, sus 16 trabajadores deciden ocupar, vivir y resistir en sus puestos de trabajo para que ésta no desaparezca. Conformando una particular cooperativa de trabajo intentan mantener la empresa en funcionamiento por sus propios medios, pero esta desesperada y utópica salida al creciente desempleo no resulta fácil. ",16,35,8,6802.0
914988538,/video/73933985,Minimercado Champion ,"Minimercados Champions premia a Ana con un viaje de dos días, para dos personas a una cuidad de la costa. De repente, se encuentra viajando sola, sumergida en un tour en el que parece no encajar.",14,38,30,746.0
914988539,/video/73661916,Elsa y su ballet,"Es febrero cuando las casi 60 mujeres que integran el Ballet 40/90 se reúnen para comenzar a trabajar. Les espera 8 meses de duros ensayos. El grupo está integrado por amas de casa, empleadas, psicólogas, maestras, comerciantes. Las hay casadas, solteras, viudas y divorciadas. La más joven tiene 47 años, la mayor 81, y salvo una, ninguna de ellas ha bailado jamás de manera profesional. Con 87 años a cuestas llega Elsa, la directora del Ballet. Esta genial e hiperactiva  mujer de pelo blanco y bastón es la responsable de pensar las coreografías, de adaptar las músicas, de diseñar el vestuario y la iluminación entre muchas cosas más.",9,2,27,2569.0
914988540,/video/72813837,Luego,"Tres situaciones de origen vagamente teatral, despojadas de todo ropaje exterior, revelan la pista de un cine diferente. Luego no pretende ser realista -quizá no podría serlo-, pero consigue atrapar momentos ausentes del mejor costumbrismo. Ahí está la alegría cómplice de la pareja inicial, su diálogo de sobreentendidos y chistes tontos, transmitiendo una intimidad que hemos experimentado en la vida real, pero que rara vez vemos en pantalla. Es que en Luego el realismo es a través: no surge de la búsqueda consciente, sino que se filtra entre las hendijas de su mundo en apariencia autárquico, cerrado.  (Bafici)",26,22,17,18052.0
914988541,/video/70729818,Deus Irae,"Existe una frágil frontera entre nuestro mundo y el reino de las tinieblas: un límite donde criaturas pesadillescas esperan la oportunidad para poseer a los más inocentes, y así usarlos como portales para infectar nuestro mundo. Una sola cosa los viene deteniendo: una orden secreta de sacerdotes que dedican sus vidas y almas a proteger ésta frontera. Soldados de una guerra secreta, que buscan al Mal para verlo a los ojos... y destruirlo.",7,34,26,440.0
914988542,/video/52433800,Viaje a Marte,"Antonio es un niño que quiere ir a Marte. Afortunadamente, su abuelo sabe cómo llegar.",39,21,21,15162.3242009
914988543,/video/17746950,At the Opera,Una noche muy conmovedora en la ópera.,16,35,8,15162.3242009
914988545,/video/11347429,Lapsus,Una monja curiosa se aventura sobre su lado oscuro.,27,30,6,15162.3242009
914988546,/video/74624377,El traje,"Inés visita a su abuela que vive en un pueblo cercano al mar. A través de su convivencia aparecen los contrastes de una joven y una señora que se encuentran al principio y al final de la vida. Inés revisa la casa de su abuela y termina encontrando un traje que encierra un misterio. En un clima familiarmente enrarecido, comienza un recorrido que develará la historia que fue a buscar.",27,30,6,4802.0
914988547,/video/76326489,El fantástico mundo del Crópogo,"Cropogo: “cro” de croquet, “po” de polo, “go” de golf. Esta mezcla es un deporte que se juega desde hace unas ocho décadas en Sierra de la Ventana (al sur de la provincia de Buenos Aires). La película nos mete en ese mundo –de no pocos visos surreales y deportiva absurdidad– con entrevistas, visitas a “la cancha”, material de archivo. Y veremos que el mundo del cropogo es mucho más que el deporte en sí: es la pasión de los jugadores, es la disputa por la reescritura de la historia de sus glorias, los récords y los triunfos, es –a fin de cuentas– esa suerte de hermandad en el enfrentamiento que genera vivir inmerso en un deporte.",34,14,11,1042.0
914988548,/video/76025169,Aníbal,"Aníbal es un personaje detestable, regañón, molesto y vueltero. Sin otra cosa mejor que  hacer se instala por períodos en la casa del narrador, hasta que decide matarlo. Sin embargo, se las arregla para volver a aparecer.",35,24,15,137.0
914988549,/video/75767903,Prepotencia de trabajo,"""Prepotencia de trabajo"" es una película sobre gente que hace películas, hecha por gente que las hace, por gente que enseña a hacerlas y por gente que está aprendiendo a hacerlas. Y también es una película sobre sus películas, sobre cómo esa gente aprendió y cómo se las ingenió para hacerlas. Y además es una película sobre el Festival de Mar del Plata visto por esta gente, sobre las posibilidades que les brinda, y también sobre la carrera de Diseño de Imagen y Sonido de la UBA, de donde salieron todos estos realizadores.",36,1,12,5617.0
914988550,/video/76326488,El hada buena - Una fábula peronista,"""El Hada Buena"" sucede en la Argentina, en un futuro más o menos lejano, más o menos cercano. Luego del desastre la autoridad ha decidido reinstalar el modelo benefactor peronista, o por lo menos, su estética y vocabulario. La sociedad hace un gran esfuerzo por copiar costumbres y aclama un holograma de un Perón que no es. Esther y Horacio, hermanos, únicos sobrevivientes de la que ha sido una acomodada familia, se adaptan a los tiempos que corren. Adoptan niños en subastas populares con el objetivo de que alguno sea apadrinado por el presidente Perón, sin resultados favorables. Pero todo parece cambiar con la llegada del séptimo niño: Juan Domingo Séptimo.",33,3,32,16443.0
914988551,/video/67034026,Corazón de fábrica,"El film va indagando en la vida de un grupo de obreros, hombres y mujeres de la Patagonia argentina, que inician una lucha para frenar las muertes y los accidentes que se producen en la fábrica de cerámicos donde trabajan. Los conflictos que atraviesan se vuelven cada vez más complejos y vertiginosos, y el compromiso que asumen con esta lucha se torna inimaginado para muchos de ellos.",18,8,18,4278.0
914988552,/video/66723033,8cho,Visiones y pesadillas de una mujer que escapa de su propia sombra.,26,22,17,93.0
914988553,/video/67394411,Vida en Marte,"""Habría vida en Marte"", nos informan El Locutor y los titulares de los diarios. Los medios de comunicación organizan encuestas y concursos, y hasta un tema musical logra repentino suceso alrededor de esta supuesta novedad. Mientras tanto, un grupo de amigos repite su coreografía diaria tan automáticamente que nos obliga a preguntarnos si también habrá vida en la Tierra.",34,14,11,105.0
914988554,/video/66647995,La sonámbula,"Corre el año 2010 en Argentina, es el bicentenario de la Revolución de Mayo. Durante ese año, las autoridades realizan pruebas experimentales con una nueva sustancia química y ocurre un accidente por el cual cientos de miles de personas pierden la memoria y con ella su identidad. ",26,22,17,37870.0
914988555,/video/80348150,El juego,"Un grupo de hombres armados deambula por la selva, buscándose desesperadamente unos a otros. Algunos se desplazan en parejas, otros en solitario, algunos visten uniforme militar, otros no. Como en cualquier juego, rivalidades y conflictos internos surgirán rápidamente, trazando una nítida línea divisoria entre los que ejercen el poder y los que lo acatan.",5,9,31,384.0
914988556,/video/78397134,Moacir,"Moacir Dos Santos es un talentoso cantante, compositor y bailarín de carnaval pero nunca tuvo la posibilidad de demostrarlo. Es, según sus palabras, “brasileiro y argentino"", ya que llegó al país hace treinta años. Ahora, con 68 (diez de ellos internado en el hospital neuropsiquiátrico Borda), Moacir tiene un sueño entre ceja y ceja: poder grabar un disco con las canciones propias que registró cuando vino a la Argentina y que se encontraban perdidas.",26,22,17,2374.0
914988557,/video/78574547,Hoy no tuve miedo,"""Hoy no tuve miedo"" son dos películas a la vez. La primera, retrata a dos hermanas, Ara y Marian, en su cotidianeidad: su trabajo haciendo vestidos, su perro, sus tiempos libres, las ausencias que las rondan. La segunda, pone enfrente de la cámara al equipo de rodaje y se libra de la narración lineal en pos de una manipulación libre de la textura visual y sonora.",10,27,10,11321.0
914988558,/video/78411030,Una por una (tratando que no se borre),"Eduardo tiene 35 años, vive en la ciudad de Gaiman, es ingeniero agrónomo y lleva una vida sosegada. No obstante, en el contexto de la caída de las Leyes de Obediencia Debida y Punto Final en el año 2005, decide junto a su familia retomar la causa sobre la desaparición de su hermano, la cual había permanecido paralizada desde 1987.",13,6,14,8772.0
914988559,/video/75955530,"Sip'ohi, el lugar del manduré","Agobiado de la ciudad, Gustavo Salvatierra viaja hacia Sip'ohi, zona del impenetrable chaqueño. Allí emprende una tarea, recopilar los relatos orales del pueblo Wichí. Félix, uno de su amigos, oficiará de acompañante. Poco a poco, los relatos se transforman en protagonistas. Transmitidos de generación en generación expresan el modo en que los wichís comprenden la naturaleza que los rodea, el movimiento de la vida y el humor que los caracteriza. Expresan una cultura que Gustavo nunca olvidó y quiere hacer conocer.",1,5,24,5711.0
914988560,/video/78685374,Planetario,"Desde la popularización de las cámaras de video caseras (y un poco antes, con el Super8, también), una de sus principales funciones ha sido servir para que los padres graben a sus hijos. En todo momento -jugando, comiendo, dando sus primeros pasos, en actos escolares, de vacaciones, festejando cumpleaños propios o ajenos; hasta naciendo- y en todo lugar. Y por muchas razones distintas, o sin ninguna en absoluto, como lo demuestra Planetario, un recorrido por el mundo en busca de esos registros familiares. Estados Unidos (con una pianista ultracatólica y su hija, futura estrella pop), Rusia (con un machote de armas tomar que se derrite por su pequeño) y la India (con un tardío y orgulloso “padre soltero”) son algunas de las escalas globales en las que Tokman encuentra historias de vida comunes y corrientes y las transforma, a través de un cuidadoso trabajo de selección y edición, en relatos extraordinarios (¡y musicales!) sobre la paternidad y la maternidad, sobre las diferencias y muchas semejanzas culturales y, en definitiva, sobre una de las formas más incondicionales del amor.",32,31,13,4485.0
